Autosomal recessive predisposition,2491,0.959922929
Schizophrenia,2466,0.950289017
Intellectual Disability,2452,0.944894027
Dull intelligence,2421,0.932947977
Poor school performance,2421,0.932947977
Mental Retardation,2421,0.932947977
Low intelligence,2421,0.932947977
Mental deficiency,2421,0.932947977
Cognitive delay,2381,0.917533719
Global developmental delay,2381,0.917533719
Mental and motor retardation,2381,0.917533719
Liver Cirrhosis Experimental,2361,0.90982659
Short stature,2359,0.909055877
Muscle hypotonia,2359,0.909055877
Prostatic Neoplasms,2357,0.908285164
Seizures,2356,0.907899807
Mammary Neoplasms,2332,0.898651252
Epilepsy,2329,0.897495183
Bipolar Disorder,2274,0.876300578
Small head,2218,0.854720617
Stomach Neoplasms,2195,0.845857418
Liver carcinoma,2136,0.823121387
Pediatric failure to thrive,2134,0.822350674
Failure to gain weight,2134,0.822350674
Micrognathism,2108,0.812331407
Hypoplastic mandible condyle,2108,0.812331407
Mandibular hypoplasia,2108,0.812331407
Depressive disorder,2105,0.811175337
Curvature of spine,2085,0.803468208
Acquired scoliosis,2085,0.803468208
Strabismus,2036,0.784585742
Hypertensive disease,2016,0.776878613
Lung Neoplasms,2006,0.773025048
Blepharoptosis,2002,0.771483622
Autistic Disorder,1998,0.769942197
Orbital separation excessive,1996,0.769171484
Cryptorchidism,1969,0.758766859
Nystagmus,1962,0.756069364
Byzanthine arch palate,1949,0.75105973
Mammary Neoplasms Experimental,1948,0.750674374
Major Depressive Disorder,1933,0.744894027
melanoma,1908,0.735260116
Sensorineural Hearing Loss (disorder),1894,0.729865125
Obesity,1886,0.726782274
Colorectal Neoplasms,1881,0.724855491
Nasal bridge wide,1873,0.72177264
Broad flat nasal bridge,1873,0.72177264
Myocardial Ischemia,1861,0.717148362
Concave bridge of nose,1859,0.716377649
Depressed nasal rootbridge,1859,0.716377649
Depressed nasal bridge,1859,0.716377649
Unipolar Depression,1859,0.716377649
Mental Depression,1848,0.712138728
Neoplasm Metastasis,1848,0.712138728
Cataract,1846,0.711368015
Hyperreflexia,1842,0.70982659
Low set ears,1832,0.705973025
Lens Opacities,1832,0.705973025
Alcoholic Intoxication Chronic,1826,0.703660886
Craniofacial Abnormalities,1817,0.700192678
Cerebellar Ataxia,1814,0.699036609
Dysarthria,1812,0.698265896
Hepatomegaly,1792,0.690558767
Fetal Growth Retardation,1790,0.689788054
Congenital Epicanthus,1785,0.687861272
Colonic Neoplasms,1779,0.685549133
Infant Small for Gestational Age,1778,0.685163776
Intrauterine retardation,1778,0.685163776
Cleft Palate,1774,0.683622351
hearing impairment,1770,0.682080925
Animal Mammary Neoplasms,1763,0.67938343
Downward slant of palpebral fissure,1762,0.678998073
Rheumatoid Arthritis,1747,0.673217726
Deafness,1743,0.671676301
Feeding difficulties in infancy,1742,0.671290944
